software_name,category_id,category_name,infrastructure_layer,pqc_support,pqc_capability_description,license_type,license,latest_version,release_date,fips_validated,pqc_migration_priority,primary_platforms,target_industries,authoritative_source,repository_url,product_brief,source_type,verification_status,last_verified_date,migration_phases,learning_modules,vendor_id,trusted_source_id,evidence_flags
CockroachDB Encryption,CSC-007,Database Encryption Software,"Database, Cloud",No,"The provided text contains no mention of Post-Quantum Cryptography (PQC), quantum-resistant algorithms, or PQC migration plans. Only classical symmetric encryption (AES) is described.",Open Source/Commercial,CockroachDB Software License (CSL) for versions v24.3 and later; NOASSERTION listed in repository metadata.,v26.1.0,2025-11,No,High,"Self-hosted clusters, CockroachCloud (various cloud platforms), Linux/Unix implied by CLI usage.","Banking & Fintech, Retail & eCommerce, Software & Tech, Media & Streaming, Gaming, Manufacturing & Logistics, Gambling, Healthcare.",https://github.com/cockroachdb/cockroach,https://github.com/cockroachdb/cockroach,"Cloud-native distributed SQL database designed for high availability, effortless scale, and control over data placement.",Trusted Vendor,Verified,2026-02-16,launch,data-asset-sensitivity;database-encryption-pqc;kms-pqc,VND-221,microsoft,
Proton Mail,CSC-008,Email Encryption Software,Application,Planned (with details),Proton is leading standardization of quantum-safe OpenPGP extensions using hybrid modes. Selected algorithms: CRYSTALS-Dilithium + Ed25519 for signatures; CRYSTALS-Kyber + X25519 for encryption. Work began in 2021 with BSI. Rollout planned before quantum threat materializes.,Open Source/Commercial,"GPL-3.0, MIT, BSD-3-Clause (varies by repository)",5.x,2026-03-06,No,High,"Web, iOS, Android, Desktop (via Bridge)","General Public, Business, Privacy-conscious users",https://proton.me/mail,https://github.com/ProtonMail,Secure your communications with encrypted email.,Trusted Vendor,Verified,2026-03-25,launch,email-signing,VND-225,microsoft,no-cert-backing
GnuPG,CSC-008,Email Encryption Software,Application,No,"The document does not mention any Post-Quantum Cryptography (PQC) algorithms, schemes, or migration plans. It only references the OpenPGP standard (RFC4880), S/MIME, and Secure Shell.",Open Source,GPL-3.0,2.5 (stable version mentioned); 2.6 (mentioned in build instructions as a dependency context),2024-09,No,High,"Unix, Windows (via gnupg-w32 tarball), Apple OSX, Cygwin",All industries,https://gnupg.org,https://github.com/gpg/gnupg,"A complete and free implementation of the OpenPGP standard enabling encryption, signing, and key management.",Open Source Foundation,Verified,2026-03-30,launch,email-signing,VND-196,ietf,
Adobe Acrobat Sign,CSC-009,Digital Signature Software,Application,No,Uses RSA and ECDSA for PDF digital signatures (PAdES). No PQC signature support announced. Dependent on ETSI PAdES specification updates for PQC.,Commercial,"Proprietary (implied by ""Business Pricing Plans"" and ""Contact Sales"")",Current,2025,No,High,"Desktop, mobile device, Microsoft Word, Teams, Salesforce, Workday, Adobe Document Cloud, Box, Dropbox, Google Drive, Microsoft OneDrive","Medium or large business, Fortune 500 companies, small businesses",https://main--dc--adobecom.aem.live/dc-shared/fragments/promo-banners/acrobat-sign,,"Standalone e-signature solution with unlimited seats, robust integrations, and advanced features for business workflows.",Trusted Vendor,Verified,2026-03-25,migrate,email-signing;healthcare-pqc,VND-166,ietf,
DigiCert SigningHub,CSC-009,Digital Signature Software,Application,no SigningHub-specific PQC roadmap publicly documented,DigiCert is actively involved in PQC with hybrid TLS certificates. SigningHub positioned for PQC through DigiCert infrastructure but has not yet shipped PQC document signatures.,Commercial,Commercial,Current,2025,Yes (via DigiCert PKI) (classical algorithms only; PQC not in FIPS scope),High,Cloud Web,"Finance, Legal, Government, Healthcare",https://www.digicert.com/signing/signhub,,Cloud document signing with PQC roadmap through DigiCert PQC certificate infrastructure.,Trusted Vendor,Verified,2026-03-30,migrate,email-signing;healthcare-pqc;migration-program,VND-012,digicert,fips-classical-only
GlobalSign Digital Signing Service,CSC-009,Digital Signature Software,"Application, Cloud",No,"The document mentions ""Post Quantum Computing"" as a menu category but provides no details on implementation, algorithms, or maturity for the Digital Signing Service. It states the service is powered by PKI-based digital signatures without specifying PQC integration.",Commercial,Proprietary,Current,2025,No,High,"Cloud-based; integrates with Adobe Acrobat, DocuSign, ServiceNow, HashiCorp Vault, Kubernetes (via cert-manager), Microsoft Intune, AirWatch MDM.","Finance and Insurance, Government, Health and Dental, Education, Legal and Real Estate, Energy.",https://www.globalsign.com/en/digital-signing-service,,"Cloud-based solution enabling organizations to deploy trusted digital signatures and seals quickly, easily, and securely.",Trusted Vendor,Partially Verified,2026-03-25,migrate,email-signing,VND-173,ietf,
sigstore/cosign,CSC-017,Code Signing and Software Integrity,Application,No,Uses ECDSA P-256 (default) with Ed25519 and ECDSA P-521 via --signing-algorithm flag (v3.0.3+). Go implementations of LMS and ML-DSA are complete. ML-DSA added to Sigstore protobuf specs. Cryptographic agility implemented across cosign/Fulcio/Rekor by Trail of Bits. Private Sigstore instances can experiment with PQC signing via custom Keypair implementations. Public instance awaiting Go stdlib ML-DSA support (Go 1.26+).,Open Source,Apache-2.0,2.4.1 (mentioned in Dockerfile example); 2.x series is stable; 2.6.x mentioned for troubleshooting.,2026-03-06 (Last Updated timestamp in document header),No,Low,"Linux, macOS, Docker/Kubernetes, GitHub Actions, Homebrew, Arch, Nix.","Software Development, Container Security, DevOps (implied by ""containers and binaries"", ""OCI registry"").",https://github.com/sigstore/cosign,https://github.com/sigstore/cosign,Keyless code signing for containers with PQC cryptographic agility. ML-DSA in protobuf specs; private instances can experiment with PQC signing.,Open Source Foundation,Verified,2026-03-30,migrate,code-signing;os-pqc;platform-eng-pqc;secure-boot-pqc,VND-072,pqca,
Microsoft SignTool,CSC-017,Code Signing and Software Integrity,Application,No,"The document does not mention any Post-Quantum Cryptography (PQC) algorithms, hybrid modes, or PQC migration plans. It explicitly recommends SHA256 over SHA1 but lists no quantum-resistant primitives.",Proprietary,Commercial,10.0.22621.0 (referenced in installation path example),2025,Yes (via CNG),High,"Windows (part of Windows Software Development Kit, Windows Hardware Lab Kit, Windows Driver Kit, Windows Assessment and Deployment Kit)","Enterprise, Software Development, Government (implied by driver signing policies)",https://learn.microsoft.com/en-us/windows/win32/seccrypto/signtool,,"A command-line tool included in the Windows SDK that digitally signs, verifies, removes signatures from, and time stamps files.",Trusted Vendor,Partially Verified,2026-03-25,migrate,code-signing;secure-boot-pqc,VND-027,microsoft,
Apple codesign,CSC-017,Code Signing and Software Integrity,Application,No,Apple shipped ML-KEM 768/1024 and ML-DSA-65/87 in CryptoKit (iOS 26/macOS Tahoe Sep 2025) with Secure Enclave support and formal verification. Code signing infrastructure (codesign tool Mach-O code signature format notarization service) not yet updated for PQC. No announced PQC code signing timeline.,Proprietary,Commercial,Xcode 17.x,2025-09,No,High,macOS iOS,"Software Development, Enterprise",https://developer.apple.com/documentation/security/code_signing_services,,Apple platform code signing. ML-KEM/ML-DSA available in CryptoKit with Secure Enclave support but code signing infrastructure not yet updated for PQC.,Trusted Vendor,Partially Verified,2026-03-25,migrate,code-signing;confidential-computing,VND-002,apple,
Notary Project,CSC-017,Code Signing and Software Integrity,Application,No,"The document does not mention any Post-Quantum Cryptography (PQC) algorithms, hybrid modes, or migration plans. It only describes signing and verifying signatures generically without specifying quantum-resistant primitives.",Open Source,Apache-2.0,1.3.0,2026-02-26,No,High,"Cloud-native, container, Kubernetes environments; integrates with Azure and AWS.","Cloud-native, Container, Kubernetes",https://github.com/notaryproject/notation,https://github.com/notaryproject/notation,A CLI tool to sign and verify artifacts in the OCI registry ecosystem.,Open Source Foundation,Verified,2026-03-30,migrate,code-signing;platform-eng-pqc;secure-boot-pqc,VND-072,pqca,
GPG Code Signing,CSC-017,Code Signing and Software Integrity,Application,No,GnuPG 2.5.x supports PQC composite key encapsulation per LibrePGP specification. ML-KEM-768+X25519 and ML-KEM-1024+X448 composites for quantum-resistant encryption (FIPS-203 compliant since v2.5.1). ML-DSA composite signatures and SLH-DSA standalone signatures specified in OpenPGP PQC draft (IETF draft-ietf-openpgp-pqc) that GnuPG is implementing. Note: follows LibrePGP v5 keys not IETF OpenPGP RFC 9580 v6 format.,Open Source,GPL-3.0,2.5 (stable version mentioned); 2.6 (dependencies listed for build instructions),2024-09,No,High,"Unix, Windows, Apple OSX, Cygwin",All industries,https://gnupg.org,https://github.com/gpg/gnupg,"A complete and free implementation of the OpenPGP standard enabling encryption, signing, and key management.",Open Source Foundation,Verified,2026-03-30,migrate,code-signing;os-pqc,VND-196,ietf,
DigiCert Software Trust Manager,CSC-017,Code Signing and Software Integrity,"Application (as provided in the prompt context, not found in document text)",Yes (ML-DSA SLH-DSA),Enterprise code signing with ML-DSA and SLH-DSA keypair generation and signing supported since July 2025 (STM v1.1049.0). Private ML-DSA and SLH-DSA certificates available via Trust Lifecycle Manager (MLDSA-44/65/87 via CSR EST and REST API). Public CA PQC code signing certificates from CertCentral not yet available. CI/CD integration and secure key storage.,Commercial,Commercial,1.1049.0,2025-07,Yes (DigiCert PKI),High,Cloud API CI/CD,"Enterprise, Software Development",https://docs.digicert.com/en/platform-overview/digicert-solutions-for-post-quantum-computing.html,,Enterprise code signing platform with production ML-DSA support. Private PQC certificates via Trust Lifecycle Manager.,Trusted Vendor,Verified,2026-02-24,migrate,code-signing;platform-eng-pqc;secure-boot-pqc,VND-012,digicert,
AWS KMS (Cloud Gateway),CSC-028,Cloud Encryption Gateways,"Cloud, Security Stack",No,"The document does not mention Post-Quantum Cryptography (PQC), PQC algorithms, or any plans for PQC migration. It only mentions current standards like ECDSA for signing and symmetric encryption.",Open Source/Commercial,Apache 2.0 (for AWS Encryption SDK); Commercial/Proprietary (for AWS KMS managed service),Current,2025,"Yes, FIPS 140-3 Security Level 3 validated hardware security modules (HSM)",High,"AWS Cloud; Programming languages: C, .NET, Java, JavaScript, Python, Rust, Go, CLI",All industries,https://aws.amazon.com/kms/,,An AWS managed service to create and control keys used to encrypt or digitally sign data.,Trusted Vendor,Verified,2026-03-25,"migrate,launch,rampup",crypto-dev-apis;kms-pqc;migration-program;secrets-management-pqc;web-gateway-pqc,VND-001,amazon-aws,
Google Cloud KMS (Cloud Gateway),CSC-028,Cloud Encryption Gateways,Cloud,No,"The document does not mention Post-Quantum Cryptography (PQC), quantum-resistant algorithms, or any PQC migration plans. Only classical algorithms are listed.",Commercial,Proprietary,Current,2025-10,"Yes, FIPS 140-2 Level 3 validated HSMs are supported.",High,"Google Cloud (including GKE, BigQuery, Compute Engine, Cloud SQL, Dataproc, Data Fusion)","Financial Services, Healthcare and Life Sciences, Government, Retail, Media and Entertainment, Telecommunications, Manufacturing, Supply Chain and Logistics, Education, Startups and SMB",https://cloud.google.com/kms,,A cloud-hosted key management service to centrally manage symmetric and asymmetric cryptographic keys on Google Cloud.,Trusted Vendor,Verified,2026-03-30,"migrate,launch,rampup",kms-pqc;secrets-management-pqc;web-gateway-pqc,VND-018,google,ml-kem-may-be-preview-not-ga
Fortanix Data Security Manager,CSC-028,Cloud Encryption Gateways,"Cloud, Security Stack, Hardware",Yes (ML-KEM; ML-DSA via FX 2200 appliance + PQC Central migration),"The platform offers ""Post Quantum Cryptography"" capabilities to help users discover and assess their cryptographic security posture across environments, prioritize risks, and remediate quantum threats. It is listed under solutions for ""Post-Quantum Readiness."" Specific algorithms or maturity levels are not detailed in the text.",Commercial,Proprietary,Current,2025,Yes; hardware is FIPS 140-2 L3 validated.,High,"AWS (via XKS), Google Cloud Platform (via EKM), hybrid multicloud environments, on-premises.","Healthcare, Banking and Financial Services, Tech, Manufacturing, Federal Government.",https://www.fortanix.com/,,Unified solution for data encryption and key management across hybrid multicloud environments.,Trusted Vendor,Verified,2026-03-30,"migrate,launch,rampup",confidential-computing;database-encryption-pqc;healthcare-pqc;hsm-pqc;kms-pqc;migration-program;secrets-management-pqc,VND-015,cmvp,fips-classical-only
Thales CipherTrust Manager,CSC-028,Cloud Encryption Gateways,"Cloud, Hardware, Security Stack",Yes (ML-KEM ML-DSA via Luna HSM),"The document mentions a ""Quantum"" section advising enterprises to start planning for post-quantum readiness and offers a risk assessment tool, but does not state that CipherTrust Manager currently implements PQC algorithms or supports PQC migration features.",Commercial,"Proprietary (implied by ""Commercial"" context and lack of open source mention)",2.22.1,2026-02,Yes; integrates with FIPS 140-3 Level 3 compliant Thales Luna or third-party HSMs.,High,"AWS, Microsoft Azure, Google Cloud, VMware, Microsoft HyperV (as native virtual machines); On-premises physical and virtualized infrastructures.","Financial Services, Government, Healthcare, Manufacturing, Retail, Telecommunications, Automotive, Critical Infrastructure, Education, Insurance Providers, Media and Entertainment, SaaS Providers.",https://cpl.thalesgroup.com/encryption/ciphertrust-manager,,"Industry leading enterprise key management solution enabling centralized encryption key management, access control, and security policy configuration.",Trusted Vendor,Verified,2026-02-24,"migrate,launch,rampup",aerospace-pqc;database-encryption-pqc;healthcare-pqc;hsm-pqc;kms-pqc,VND-041,thales-research,
Nginx,CSC-038,Application Servers,Application,No,Supports quantum-safe TLS via underlying OpenSSL 3.5+ (ML-KEM added in 3.5) or BoringSSL with ML-KEM hybrid key exchange functionality.,Open Source,BSD-2-Clause,1.28.x (stable) / 1.29.x (mainline),2026-03-06 (Last Updated timestamp),No,Critical,"Linux, FreeBSD, Windows (Proof-of-Concept), macOS (implied by ""all major operating systems"")",All industries,https://github.com/nginx/nginx,https://github.com/nginx/nginx,"The world's most popular Web Server, high performance Load Balancer, Reverse Proxy, API Gateway and Content Cache.",Open Source Foundation,Verified,2026-02-21,"migrate,launch",tls-basics;web-gateway-pqc,VND-014,microsoft,
Apache HTTP Server,CSC-038,Application Servers,Application,No,"The document mentions support for asymmetric algorithms via OpenSSL or platform-specific SSL facilities but contains no mention of Post-Quantum Cryptography (PQC) algorithms, hybrid modes, or migration plans.",Open Source,Apache-2.0,2.0 and later versions (specific latest version number not stated),2025-11,No,High,Platform-specific notes available in README.platforms; no specific OS listed in text.,All industries,https://httpd.apache.org/,https://github.com/apache/httpd,A powerful and flexible HTTP/1.1 compliant web server designed as a replacement for the NCSA HTTP Server.,Open Source Foundation,Verified,2026-03-30,"migrate,launch",crypto-dev-apis;tls-basics,VND-046,microsoft,
Envoy Proxy,CSC-038,Application Servers,"Application, Network",No,"The provided text contains no mention of Post-Quantum Cryptography (PQC) algorithms, hybrid modes, or migration plans. It only mentions general security audits and fuzzing infrastructure.",Open Source,Apache-2.0,1.37+,2026-03-06,No,Critical,"C++ (Language), ppc64le, s390x (Architectures mentioned in build status)",Cloud Native Enterprise,https://github.com/envoyproxy/envoy,https://github.com/envoyproxy/envoy,Cloud-native high-performance edge/middle/service proxy hosted by CNCF.,Open Source Foundation,Verified,2026-03-30,"migrate,launch",crypto-agility;tls-basics;web-gateway-pqc,VND-072,microsoft,pqc-not-default; requires-config
Node.js,CSC-038,Application Servers,Application,Yes (ML-KEM + ML-DSA via OpenSSL 3.5 in v24.7+),"Node.js 22 LTS and Node.js 24 both bundle OpenSSL 3.5 with ML-KEM via crypto.encapsulate()/decapsulate() and ML-DSA via crypto.sign()/verify(). Full PQC support in TLS and crypto APIs. Node.js 22 LTS was upgraded to OpenSSL 3.5.2, so both LTS and current have PQC.",Open Source,"NOASSERTION (as stated in text; typically MIT, but text explicitly says NOASSERTION)",v22.x (Current branch mentioned); v18 Hydrogen (LTS example mentioned),2026-03-06 (Last Updated date in metadata),No,High,"Linux, macOS, Windows (listed under Topics)",All industries,https://github.com/nodejs/node,https://github.com/nodejs/node,JavaScript runtime built on Chrome V8. PQC support blocked pending OpenSSL dependency update in core.,Open Source Foundation,Verified,2026-03-30,"migrate,launch",crypto-dev-apis;tls-basics,VND-199,ietf,
F5 BIG-IP,CSC-033,Network Security Software,"Network, Security Stack",Yes (ML-KEM TLS Hybrid),"Supports hybrid PQC key exchange in production using FIPS 203 (ML-KEM based on Kyber) combined with classical algorithms like X25519, RSA, or ECC. Enables TLS termination at the edge without backend refactoring.",Commercial,"Proprietary (Subscriptions, Perpetual licensing)",v17.5.1,2025,FIPS 203 supported (ratified); FIPS 140 status not explicitly stated in text.,High,"Amazon Web Services, Google Cloud Platform, Microsoft Azure, Red Hat OpenShift","Banking and financial services, E-commerce, Healthcare, Public sector, Technology, Manufacturing",https://www.f5.com/company/blog/quantum-ready-a-practical-guide-to-enabling-pqc-with-f5,,"Part of the F5 Application Delivery and Security Platform, enabling hybrid PQC key exchange in production.",Trusted Vendor,Verified,2026-03-25,"test,migrate",network-security-pqc;vpn-ssh-pqc;web-gateway-pqc,VND-014,cmvp,
HAProxy,CSC-038,Application Servers,"Application, Network",No,High-performance load balancer and reverse proxy. HAProxy 3.1 is unmaintained as of Q1 2026; current versions are 3.2 (LTS) and 3.3 (stable). Can be compiled with OpenSSL 3.5+ or liboqs to support ML-KEM hybrid TLS connections (X25519MLKEM768).,Open Source,GPL 2 (or any later version) for the main code; LGPL 2.1 for headers.,3.2,2026-03-06 (Last Updated date of the repository mirror),No,Critical,"Alpine/musl, AWS-LC, Illumos, NetBSD, FreeBSD, Linux (implied by network namespaces doc), VTest environment.",All industries,https://github.com/haproxy/haproxy,https://github.com/haproxy/haproxy,"A free, very fast and reliable reverse-proxy offering high availability, load balancing, and proxying for TCP and HTTP-based applications.",Open Source Foundation,Verified,2026-03-30,"migrate,launch",crypto-dev-apis;tls-basics;web-gateway-pqc,VND-197,microsoft,
Okta Integration Network,CSC-015,API Security and JWT Libraries,"Application, Cloud, Security Stack",No,"The document does not mention Post-Quantum Cryptography (PQC), PQC algorithms, or any plans for PQC migration. It mentions OIDC ID Token Encryption using JSON Web Encryption (JWE) but does not specify the underlying cryptographic primitives as PQC.",Commercial,Proprietary (Okta and/or its affiliates. All rights reserved.),Current,"2025-07-01 (Q3 2025 release overview; specific day not provided, range July-September 2025)","No (Document mentions ""Okta for Government High"" and ""FedRAMP High"" compliance but does not explicitly state FIPS 140-2 or 140-3 validation status).",Critical,"Cloud, On Prem Servers, Public/Private Directories, Kubernetes (via Axiom integration), Databases (via Axiom integration)","Public Sector, Financial Services, Healthcare, Manufacturing, Retail, Travel & Hospitality, Technology, Non-Profit, Energy",https://www.okta.com,,"A comprehensive identity security fabric platform securing human, non-human, and AI agent identities across all environments.",Trusted Vendor,Verified,2026-02-21,"migrate,launch",api-security-jwt;crypto-dev-apis;dev-quantum-impact;iam-pqc,VND-060,ietf,
Kong API Gateway,CSC-015,API Security and JWT Libraries,Application,No,"The document does not mention Post-Quantum Cryptography (PQC), PQC algorithms, or any plans for PQC migration. It only mentions standard authentication methods like JWT, OAuth, and SSL/TLS termination without specifying quantum-resistant variants.",Open Source/Commercial,Apache-2.0 (Open Source); Commercial subscriptions available via Konnect Cloud,3.13,2026-03-06 (Last Updated date provided in repository metadata),No,Critical,"Kubernetes, Docker, Cloud, Bare metal, Containers",All industries,https://github.com/Kong/kong,https://github.com/Kong/kong,"A cloud-native, platform-agnostic, scalable API and AI Gateway distinguished for high performance and extensibility via plugins.",Open Source Foundation,Verified,2026-03-30,"migrate,launch",api-security-jwt;crypto-dev-apis;dev-quantum-impact;iam-pqc;web-gateway-pqc,VND-176,microsoft,
AWS Application Load Balancer (ALB),CSC-028,Cloud Encryption Gateways,"Cloud, Network",No,Managed load balancing service. AWS rolled out hybrid ML-KEM TLS support to ALB and NLB endpoints enabling enterprises to achieve quantum-safe data-in-transit without modifying application code.,Proprietary,Commercial (AWS),Current,2025,Yes (AWS-LC FIPS 140-3),Critical,"AWS (Amazon EC2, Containers, Lambda functions, IP addresses), AWS Outposts, On-premises (via Direct Connect or VPN)",All industries,https://aws.amazon.com/elasticloadbalancing/application-load-balancer,,Load balance HTTP and HTTPS traffic with advanced request routing targeted at the delivery of modern applications.,Trusted Vendor,Verified,2026-02-21,"migrate,launch,rampup",tls-basics;web-gateway-pqc,VND-001,amazon-aws,
Cloudflare Edge Network,CSC-028,Cloud Encryption Gateways,"Network, Security Stack, Cloud, Hardware",Yes (X25519MLKEM768 enabled by default; ML-KEM),"Deploys post-quantum hybrid key agreements using X25519MLKEM768 (default for modern browsers/OS) and X25519Kyber768Draft00. Supported via Cloudflare's fork of Go, OpenSSL 3.5.0+, Node.js, BoringSSL, GnuTLS, rustls, and NGINX.",Proprietary,Proprietary,Current,2025-11-04 (Document last updated),Yes (Edge platform),High,"Cloudflare Edge Network, AWS, Azure, Google Cloud, IBM Cloud, Entrust, Fortanix; Browsers: Firefox, Chrome, Safari, Edge, Opera, Brave, Tor.","Enterprise, General Internet Services",https://developers.cloudflare.com/ssl/post-quantum-cryptography/pqc-support/index.md,,"Global network infrastructure providing security, reliability, and post-quantum cryptography support via Anycast data centers.",Trusted Vendor,Verified,2026-02-21,"migrate,launch,rampup",tls-basics;web-gateway-pqc,VND-057,cloudflare,no-cert-backing
JFrog Artifactory,CSC-040,CI/CD & Artifact Management,Application,No,"The provided text does not mention Post-Quantum Cryptography (PQC), PQC algorithms, or any plans for PQC migration. It focuses on artifact management, vulnerability scanning, and standard software supply chain security.",Commercial,"Proprietary (implied by ""Commercial"", ""Renew, retrieve licenses"", and ""JFrog Enterprise+"")",Current,2026,No,Low,"SaaS, self-managed, multi-cloud, hybrid; supports Kubernetes, Docker, Maven, Gradle, Helm, npm, NuGet, Conan, Poetry.","Financial Services, Public Sector, Technology, Healthcare, Gaming, Automotive, Enterprise",https://jfrog.com/artifactory/,,"Universal Artifact & ML Model Repository Manager for software supply chain visibility, security, and control.",Trusted Vendor,Partially Verified,2026-03-25,migrate,code-signing;platform-eng-pqc,VND-174,ietf,
Sonatype Nexus,CSC-040,CI/CD & Artifact Management,"Application, Cloud",No,"The document does not mention Post-Quantum Cryptography (PQC), PQC algorithms, or any plans for PQC migration. It only mentions general security features like TLS encryption and malware protection.",Open Source/Commercial,Community Edition (Free/Open Source) and Pro Edition (Commercial/Paid). Specific license names not stated.,Current,2026,No,High,"AWS, Microsoft Azure, OpenShift, Self-hosted (data centers), Air-gapped environments; supports CI/CD tools like GitHub, GitLab, Bitbucket, Jenkins.","Government, Financial Services, Technology, Manufacturing, Healthcare, Retail, Telecommunications.",https://www.sonatype.com/products/nexus-repository,,"Cloud-native binary artifact management tool to store, manage, and distribute software applications, AI/ML models, and components.",Trusted Vendor,Partially Verified,2026-03-25,migrate,code-signing;platform-eng-pqc,VND-182,ietf,
CyberArk Conjur,CSC-053,Secrets Management,"Security Stack, Cloud, Application",Planned,Secrets management solution. Relies on standard cryptographic algorithms like AES and RSA. PQC integration into core secrets features is planned.,Open Source/Commercial,Proprietary (for SaaS/Self-Hosted); Open Source (for Conjur Secrets Manager Open Source). Specific license names not stated.,Current,2026,Yes (FIPS mode),High,"Multi-cloud, on-prem, containerized environments, CI/CD pipelines; integrates with AWS Secrets Manager and Azure Key Vault via Secrets Hub.","Automotive, Banking, Critical Infrastructure, Financial Services, Government, Healthcare, Insurance, Manufacturing, Managed Service Providers.",https://www.cyberark.com/,,"Centrally manage secrets for all application identities across multi-cloud, on-prem, and containerized environments.",Trusted Vendor,Partially Verified,2026-03-25,"migrate,launch,rampup",iam-pqc;kms-pqc;secrets-management-pqc,VND-162,nist-csrc,
Keyfactor Command,CSC-041,Certificate Lifecycle Management,"Security Stack, Cloud, Application",Yes (ML-DSA; SLH-DSA),"Supports discovery of post-quantum (PQ) and hybrid certificates via real-time visibility. Offers a ""PQC Lab"" sandbox for quantum readiness and resources. Mentions ""Quantum-ready algorithms"" and Key Encapsulation Mechanisms (KEMs) in educational content, but specific algorithm names are not listed in the product feature text.",Commercial / Open Source,Commercial,25.x,2025,"Partial (Bouncy Castle APIs are described as ""FIPS-Certified""; HSM FIPS mode is discussed in educational content, but no specific validation statement for Keyfactor Command itself).",High,"On-premises data centers, Cloud (Azure mentioned for SaaS Lite), Kubernetes clusters.","Financial Services, Telecom, Automotive, Medical, Industrial IoT, Consumer IoT, Software & IT.",https://www.keyfactor.com/products/command/,,"Platform that discovers, protects, and automates every certificate across any CA, cloud, and machine.",Trusted Vendor,Verified,2026-03-25,"assess,migrate",arch-quantum-impact;compliance-strategy;healthcare-pqc;kms-pqc;merkle-tree-certs;migration-program;ops-quantum-impact;pki-workshop;pqc-governance;vendor-risk,VND-024,keyfactor,no-cert-backing
Venafi TLS Protect,CSC-041,Certificate Lifecycle Management,Security Stack,Yes (Experimental ML-DSA SLH-DSA),"Machine Identity Management platform supporting experimental issuance and lifecycle management of PQC certificates (ML-DSA, SLH-DSA). Enables discovery and inventory of classical certificates for PQC migration planning. TLS Protect Cloud includes quantum-readiness dashboards.",Commercial,"Proprietary (Implied by ""CyberArk Software Ltd. All rights reserved"" and subscription model)",25.x,2025,No,Critical,"Cloud-native, on-premises, third-party applications (General deployment targets mentioned); Kubernetes (specifically for Certificate Manager for Kubernetes).","Automotive, Banking, Critical Infrastructure, Financial Services, Government, Healthcare, Insurance, Manufacturing, Managed Service Providers.",https://docs.venafi.com/Docs/24.3/TopNav/Content/CodeSigning/t-codesigning-pqc.php,,"Automation platform for certificate lifecycle management, enterprise PKI, and machine identity security.",Trusted Vendor,Verified,2026-03-25,"assess,migrate",arch-quantum-impact;compliance-strategy;healthcare-pqc;merkle-tree-certs;migration-program;ops-quantum-impact;pki-workshop;pqc-business-case;vendor-risk,VND-059,iec,no-cert-backing
AppViewX CERT+,CSC-041,Certificate Lifecycle Management,"Security Stack, Cloud, Application",Yes (PQC Test Center; PQC Assessment Tool; quantum-ready PKIaaS; ML-DSA SLH-DSA Catalyst),"Offers AVX ONE PQC Assessment Tool for crypto risk assessment and CBOM generation; supports quantum-ready PKIaaS issuing FIPS 203, FIPS 204, FIPS 205, and upcoming FIPS 206 (FALCON) algorithms; enables crypto-agility for rapid transition to PQC.",Commercial,Proprietary,Current,2025-04-23,"Yes (FIPS 140-2 certified HSMs mentioned for code signing; FIPS 203, 204, 205, 206 algorithms supported)",High,"Hybrid multi-cloud environments, Kubernetes, containers, on-premises, private cloud, SaaS.","Enterprise, Healthcare (PacificSource), Finance (Rabobank), Government (Australian Bureau of Statistics).",https://www.appviewx.com/post-quantum-readiness/,,"The most advanced SaaS certificate lifecycle management (CLM) platform for enterprise PKI, IAM, security, DevOps, cloud, and application teams.",Trusted Vendor,Verified,2026-03-30,"assess,migrate",5g-security;arch-quantum-impact;healthcare-pqc;merkle-tree-certs;migration-program;ops-quantum-impact;pki-workshop,VND-167,iec,
Okta Workforce Identity,CSC-042,Identity & Access Management (IAM),"Security Stack, Cloud",No,"The document does not mention Post-Quantum Cryptography (PQC), quantum-resistant algorithms, or migration plans for PQC. It mentions OIDC ID Token Encryption using JSON Web Encryption (JWE) but does not specify the underlying cryptographic primitives as PQC.",Commercial,"Proprietary (Implied by ""© Okta and/or its affiliates. All rights reserved."" and commercial nature).",Current,"2025-07-01 (Context: Q3 2025 release overview, July - September 2025)",No (Document mentions FedRAMP High/Moderate and NIST SP 800-63C FAL3 compliance but does not explicitly state FIPS 140-2 or 140-3 validation status).,Critical,"Cloud Apps, On Prem Servers, Public/Private Directories, Kubernetes (mentioned in context of Axiom integration), Databases.","Enterprise, Government (Federal/US Military), Healthcare (HIPAA customers).",https://www.okta.com/resources/whitepaper/okta-and-post-quantum-cryptography/,,"An identity security fabric platform securing employees, apps, and AI agents with governance and access management.",Trusted Vendor,Verified,2026-02-21,"migrate,launch",digital-id;iam-pqc,VND-060,iec,
